Date,Day,TMAX_CEL,total_calls
2022-04-11,Monday,18.3,26
2022-04-12,Tuesday,18.9,287
2022-04-13,Wednesday,18.9,309
2022-04-14,Thursday,18.9,338
2022-04-15,Friday,19.4,345
2022-04-16,Saturday,18.9,297
2022-04-17,Sunday,19.4,21
2022-04-18,Monday,20.6,312
2022-04-19,Tuesday,20.6,382
2022-04-20,Wednesday,19.4,347
2022-04-21,Thursday,19.4,343
2022-04-22,Friday,18.9,268
2022-04-23,Saturday,18.9,276
2022-04-24,Sunday,26.1,281
2022-04-25,Monday,27.8,355
2022-04-26,Tuesday,22.8,342
2022-04-27,Wednesday,17.8,322
2022-04-28,Thursday,17.8,324
2022-04-29,Friday,19.4,318
2022-04-30,Saturday,20,259
2022-05-01,Sunday,18.9,281
2022-05-02,Monday,18.3,324
2022-05-03,Tuesday,17.8,391
2022-05-04,Wednesday,20,324
2022-05-05,Thursday,20.6,332
2022-05-06,Friday,19.4,345
2022-05-07,Saturday,18.9,266
2022-05-08,Sunday,18.3,225
2022-05-09,Monday,19.4,244
2022-05-10,Tuesday,18.9,331
2022-05-11,Wednesday,18.3,374
2022-05-12,Thursday,23.9,365
2022-05-13,Friday,25,360
2022-05-14,Saturday,27.2,358
2022-05-15,Sunday,21.1,377
2022-05-16,Monday,19.4,420
2022-05-17,Tuesday,17.8,432
2022-05-18,Wednesday,18.3,394
2022-05-19,Thursday,18.3,415
2022-05-20,Friday,18.3,389
2022-05-21,Saturday,18.9,350
2022-05-22,Sunday,20,315
2022-05-23,Monday,18.3,351
2022-05-24,Tuesday,17.8,393
2022-05-25,Wednesday,18.9,438
2022-05-26,Thursday,18.9,379
2022-05-27,Friday,20,383
2022-05-28,Saturday,18.3,304
2022-05-29,Sunday,19.4,304
2022-05-30,Monday,20,53
2022-05-31,Tuesday,20,467
2022-06-01,Wednesday,19.4,350
2022-06-02,Thursday,19.4,349
2022-06-03,Friday,19.4,345
2022-06-04,Saturday,20,283
2022-06-05,Sunday,21.1,343
2022-06-06,Monday,21.1,366
2022-06-07,Tuesday,19.4,377
2022-06-08,Wednesday,20.6,400
2022-06-09,Thursday,20.6,378
2022-06-10,Friday,21.7,366
2022-06-11,Saturday,21.7,327
2022-06-12,Sunday,20,277
2022-06-13,Monday,19.4,333
2022-06-14,Tuesday,20.6,346
2022-06-15,Wednesday,20,378
2022-06-16,Thursday,20.6,389
2022-06-17,Friday,20,363
2022-06-18,Saturday,20,317
2022-06-19,Sunday,22.2,263
2022-06-20,Monday,25,367
2022-06-21,Tuesday,22.8,404
2022-06-22,Wednesday,23.3,377
2022-06-23,Thursday,24.4,357
2022-06-24,Friday,23.3,363
2022-06-25,Saturday,22.2,357
2022-06-26,Sunday,22.8,318
2022-06-27,Monday,23.9,399
2022-06-28,Tuesday,25,408
2022-06-29,Wednesday,24.4,395
2022-06-30,Thursday,24.4,424
2022-07-01,Friday,22.8,364
2022-07-02,Saturday,22.2,333
2022-07-03,Sunday,21.1,384
